Run,overall_accuracy,ham_accuracy,spam_accuracy
0,0.9113453408235364,0.9973125727151716,0.35651393399211945
1,0.9113453408235364,0.9973125727151716,0.35651393399211945
2,0.9707463819874779,1.0,0.7820811260977056
3,0.9707463819874779,1.0,0.7820811260977056
4,0.9707463819874779,1.0,0.7820811260977056
5,0.9707463819874779,1.0,0.7820811260977056
6,0.9707463819874779,1.0,0.7820811260977056
7,0.9707463819874779,1.0,0.7820811260977056
8,0.9707463819874779,1.0,0.7820811260977056
9,0.9707463819874779,1.0,0.7820811260977056
